size_bytes,price,rating_count_tot,rating_count_ver,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,user_rating_label
40717312,0.0,64,9,5.0,1069,2,11,37,5,14,1,0
141136896,0.0,220,2,5.0,1545,2,15,37,5,13,1,0
146228224,0.0,114096,2157,4.0,874,2,7,37,5,3,1,0
52294656,9.99,1296,4,5.0,1166,2,15,37,4,13,1,0
16332800,2.99,1293,31,5.0,566,2,20,37,5,11,1,0
164382720,0.0,19946,13,2.5,1464,2,5,37,5,1,1,0
45712384,0.0,88613,392,4.5,1375,2,4,37,5,1,1,0
16086016,0.99,107727,55,4.5,369,2,7,37,3,1,1,0
223805440,0.99,21416,974,4.5,435,2,7,43,0,5,1,0
22159360,2.99,533,27,4.0,767,2,7,37,3,9,1,0
20542280,2.99,32650,754,3.5,627,0,11,43,1,1,1,0
130637824,0.0,164963,69,4.0,1526,2,18,37,5,3,1,0
8900608,1.99,141,15,3.0,1164,2,22,40,0,1,1,2
180500480,0.0,80424,46,4.5,517,2,17,37,5,2,1,0
19853312,0.99,17190,180,4.5,177,2,7,40,0,1,1,0
42926080,0.99,7973,127,5.0,396,2,7,40,5,15,1,0
36692992,2.99,19621,1191,4.5,654,2,7,37,5,1,1,0
36647936,3.99,7315,138,4.5,637,2,7,37,5,6,1,0
91697152,0.0,118,0,0.0,1174,0,13,37,5,1,1,2
51538944,0.0,290996,150,3.5,1303,2,19,37,5,2,1,0
8302592,3.99,2785,90,4.0,476,2,20,37,5,26,1,0
430128128,6.99,54408,65,2.0,350,0,7,37,5,8,1,0
69960704,9.99,8138,107,4.5,827,2,7,37,5,13,1,0
767126,0.0,123190,68841,3.0,114,2,3,47,0,1,1,2
12996628,0.99,23810,582,4.0,381,0,7,45,0,1,1,0
139545600,0.0,54192,32,2.0,1498,2,19,37,0,1,1,0
130394112,0.0,20953,481,4.0,1505,2,19,37,5,1,1,0
101925888,9.99,71609,99,4.0,554,0,11,37,4,14,1,0
52951040,0.0,32881,7,2.0,1240,0,13,37,5,1,1,0
80409600,0.0,23201,14,2.0,1036,1,18,37,5,5,1,2
137312256,0.0,17906,4,3.0,1520,2,17,37,5,1,1,2
144412672,74.99,927,3,2.5,689,2,12,37,2,21,1,0
27746273,1.99,18920,3014,4.5,126,3,7,47,0,1,1,0
119648256,0.99,30,0,0.0,898,2,5,37,0,3,1,2
119574528,0.0,77,1,4.0,898,2,5,37,0,3,1,2
79315968,0.0,104539,11,4.5,1281,2,8,37,5,13,1,0
12818432,0.99,4016,1,5.0,1301,0,14,37,5,1,1,0
18165760,1.99,299,28,4.5,888,2,6,38,0,1,1,0
253834240,1.99,5758,9,3.0,783,0,7,40,0,1,1,0
69083136,0.0,5565,140,4.5,8,3,7,37,5,17,1,0
8573952,0.99,213092,51,4.5,377,3,7,37,3,1,1,0
127284224,0.0,150158,3392,5.0,1232,2,22,37,2,8,1,0
81374398,4.99,6046,446,4.0,103,0,7,47,0,1,1,0
94139392,0.0,345046,3040,4.5,1130,2,12,37,5,36,1,0
13216994,0.99,35930,262,4.0,557,0,7,43,0,1,1,0
21010210,0.99,22557,526,4.0,465,2,7,47,0,1,1,0
35998720,0.99,292,1,5.0,1564,1,19,37,1,1,1,2
